"PIN_id","DPN","Image","Ref_Emdep","Ref_Ingun","Ref_Fenmmital","Ref_Ptr","Type","Multi_APN"
"1","15527768","/pin/1552768.jpg","02L29290656","NA","NA","NA","'TIGE'",""
"2","10913017","/pin/F732 06B 150 G 300.png","02P21GC1,5","GKS-112 306 150 A 3002 M","F732 06B 150 G 300","1021/G-C-3.0N-AU-1.5","'PIN'",""
"3","10913031","/pin/F732 11B 100 G 300.png","02P21GD3","NA","F732 11B 100 G 300","1021/G-D-3.0N-Au-1.0","'PIN'","10913581"
"4","10914638","/pin/F732 06B 180 G 300.png","02P21GC1","GKS-112 306 180 A 3002 M","F732 06B 180 G 300","1021/G-C-3.0N-Au-1.8","'PIN'","10913240"
"5","10913993","/pin/F733 06B 300 G 300.png","02P60GC4","GKS-113 306 300 A 3002 M","F733 06B 300 G 300","NA","'PIN'","10913283"
"6","10913579","/pin/F732 11B 064 G 300.png","02P21GDL1","GKS-112 305 064 A 3002 M","F732 11B 064 G 300","1021/G-D1-3.0N-Au-0.65","'PIN'","10913028 10913225"
"8","10914633","/pin/F731 06B 130 G 300.png","02P15GC1","GKS-899 306 130 A 3002 M","F731 06B 130 G 300","1015/G-C-3.0N-Au-1,3","'PIN'",""
"9","10914634","/F731 11 B 075 G 300.png","02P15GD1","GKS-899 305 075 A 3002 M","F731 11B 075 G 300","1015/G-D-3.0N-Au-0.75","'PIN'","PTR:10913534 INGUN: 35617256"
"10","10914635","/pin/F731 11B 065 G 300.png","02P15GD3","GKS-899 305 065 A 3002 M","F731 11B 065 G 300","1015/GD-3.0N-Au-0.65","'PIN'",""
"11","10916299","/pin/10916299.jpg","02P28GYL1","NA","NA","1021/GV-Y4-1.5N-AU-1.5X0.5","'PIN'",""
"12","13708394","/pin/13708394.jpg","02P15GD60","GKS-899 305 060 A 1002M","F731 11B 061 G 100 S1","1015/G-D60-1.0N-AU-0.61","'PIN'",""
"13","15527769","/pin/15527769.jpg","02L29260756","NA","NA","NA","'TIGE'",""
"14","15527770","/pin/15527770.jpg","02BO393565D","NA","NA","NA","'TIGE'",""
"15","35484637","/pin/F731 11B 0001 G 300 SP.png","02P15GD064015","NA","F731 11B 0001 G 300 SP","NA","'PIN'","15539491"
"16","33146195","/pin/33146195.jpg","04M290516","NA","NA","NA","'RESSORT'",""
"17","35484648","/pin/F731 11B 0012 G 300 SP.png","02P15GD062515","T-899 305 065 250 150 A 3002M","F731 11B 0012 G 300 SP","1015/G-D0625-3.0N-AU-0.65X2.5/1.5","'PIN'",""
"18","35484636","/pin/F731 11B 0015 G 300 SP.png","02P15GD064515","NA","F731 11B 0015 G 300 SP","1015/G-D0645-3.0N-Au-0.65x4.5/1.5","'PIN'",""
"19","35484640","/pin/F731 11B 0016 G 300 SP.png","02P15GD065015","NA","F731 11B 0016 G 300 SP","NA","'PIN'",""
"20","33256030","/pin/F732 11B 0084 G 300 SP.png","02P21GD083518","NA","F732 11B 0084 G 300 SP","1021/G-D0835-3,0N-Au-0,80×3,5/1,8","'PIN'",""
